,Name,FighterHeight,FighterWeight,FighterDOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,ScoreStrAcc,ScoreStrDef,ScoreTDAcc,ScoreTDDef,CombatScore
692,Aljamain Sterling,"5' 7""",135 lbs.,"Jul 31, 1989",4.7,51%,2.18,61%,1.98,24%,41%,0.9,51.0,61.0,24.0,41.0,38.04
693,Jeremy Stephens,"5' 9""",145 lbs.,"May 25, 1986",3.17,40%,3.05,58%,1.16,38%,65%,0.4,40.0,58.0,38.0,65.0,24.98
694,Dmitri Stepanov,"6' 3""",217 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
695,Ray Steinbeiss,"5' 11""",170 lbs.,"Sep 12, 1979",0.0,0%,0.0,100%,0.0,0%,0%,0.0,0.0,100.0,0.0,0.0,10.0
696,Steve Steinbeiss,"6' 3""",185 lbs.,"May 05, 1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0,55.0,49.0,50.0,58.0,32.82000000000001
697,Eric Steenberg,--,155 lbs.,"Jun 22, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
698,Ricky Steele,"5' 9""",135 lbs.,"May 26, 1988",4.07,70%,2.93,50%,0.0,0%,91%,0.0,70.0,50.0,0.0,91.0,26.800000000000004
699,Dominique Steele,"5' 10""",170 lbs.,"Jan 27, 1988",2.32,49%,2.42,50%,2.95,42%,76%,0.0,49.0,50.0,42.0,76.0,30.05
700,Adam Steele,--,170 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
701,Damian Stasiak,"5' 5""",135 lbs.,"Feb 20, 1990",1.86,36%,3.1,52%,2.64,35%,43%,0.6,36.0,52.0,35.0,43.0,19.520000000000003
702,Laureano Staropoli,"6' 1""",185 lbs.,"Feb 27, 1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0,34.0,54.0,26.0,48.0,16.590000000000003
703,Kalib Starnes,"6' 3""",185 lbs.,"Jan 06, 1975",2.71,48%,4.43,53%,1.46,33%,25%,0.6,48.0,53.0,33.0,25.0,12.880000000000003
704,Clifford Starks,"6' 0""",185 lbs.,"Apr 25, 1981",1.94,33%,2.49,58%,1.94,100%,60%,0.0,33.0,58.0,100.0,60.0,28.169999999999998
705,Lucas Stark,--,155 lbs.,--,1.6,25%,3.2,66%,12.0,100%,0%,0.0,25.0,66.0,100.0,0.0,47.1
706,Dion Staring,"6' 1""",235 lbs.,"Jun 09, 1978",1.09,37%,5.0,47%,0.0,0%,33%,0.0,37.0,47.0,0.0,33.0,-7.850000000000002
707,Josh Stansbury,"6' 2""",205 lbs.,"Nov 19, 1984",3.22,54%,3.54,54%,0.0,0%,87%,1.0,54.0,54.0,0.0,87.0,19.900000000000002
708,Brian Stann,"6' 1""",205 lbs.,"Sep 24, 1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3,42.0,59.0,12.0,60.0,21.41
709,Cristina Stanciu,"5' 3""",115 lbs.,"Mar 29, 1994",2.5,50%,3.07,52%,0.85,100%,40%,1.7,50.0,52.0,100.0,40.0,27.3
710,Cody Stamann,"5' 6""",135 lbs.,"Nov 09, 1989",4.19,47%,3.39,63%,2.76,42%,75%,0.0,47.0,63.0,42.0,75.0,34.980000000000004
711,Ron Stallings,"6' 2""",170 lbs.,"Jan 25, 1983",3.22,60%,3.26,51%,0.0,0%,71%,0.0,60.0,51.0,0.0,71.0,18.000000000000004
712,Andreas Stahl,"5' 11""",170 lbs.,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0,37.0,57.0,66.0,80.0,19.099999999999998
713,Bobby Stack,"5' 9""",155 lbs.,--,1.0,20%,2.89,34%,7.48,45%,100%,0.0,20.0,34.0,45.0,100.0,32.89
714,Georges St-Pierre,"5' 11""",185 lbs.,"May 19, 1981",3.78,53%,1.4,72%,4.16,74%,83%,1.1,53.0,72.0,74.0,83.0,54.779999999999994
715,Austin Springer,"5' 8""",145 lbs.,"May 12, 1987",3.54,57%,3.15,41%,3.37,40%,100%,0.8,57.0,41.0,40.0,100.0,37.46
716,Pete Spratt,"5' 9""",170 lbs.,"Jan 09, 1971",1.63,48%,1.33,55%,0.3,100%,46%,0.3,48.0,55.0,100.0,46.0,27.9
717,Daniel Spohn,"6' 4""",205 lbs.,"ct 12, 1984",2.42,49%,1.6,53%,0.0,0%,28%,2.5,49.0,53.0,0.0,28.0,22.1
718,Serghei Spivac,"6' 3""",260 lbs.,"Jan 24, 1995",3.79,51%,2.96,55%,4.09,63%,70%,0.4,51.0,55.0,63.0,70.0,41.12
719,Daniel Spitz,"6' 7""",245 lbs.,"Jul 31, 1990",2.6,35%,5.3,46%,0.74,66%,0%,0.0,35.0,46.0,66.0,0.0,3.419999999999998
720,Waachiim Spiritwolf,"5' 8""",170 lbs.,--,10.0,100%,10.0,0%,0.0,0%,0%,0.0,100.0,0.0,0.0,0.0,10.0
721,Eric Spicely,"6' 1""",185 lbs.,"Sep 29, 1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0,45.0,55.0,20.0,75.0,15.380000000000003
722,Mario Sperry,"6' 2""",205 lbs.,"Sep 28, 1966",2.81,52%,1.53,47%,2.09,42%,71%,1.4,52.0,47.0,42.0,71.0,36.67
723,Nick Sperling,--,135 lbs.,--,1.4,25%,1.4,66%,0.0,0%,0%,0.0,25.0,66.0,0.0,0.0,9.1
724,Sam Spengler,"5' 11""",185 lbs.,--,3.27,62%,3.27,54%,1.75,11%,75%,1.8,62.0,54.0,11.0,75.0,29.050000000000004
725,Felicia Spencer,"5' 6""",145 lbs.,"Nov 29, 1990",3.21,48%,4.54,45%,1.18,18%,27%,0.2,48.0,45.0,18.0,27.0,11.090000000000003
726,Sean Spencer,"5' 10""",170 lbs.,"Jun 25, 1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0,32.0,60.0,33.0,68.0,20.820000000000007
727,Patrick Speight,"6' 1""",170 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
728,Tommy Speer,"5' 10""",170 lbs.,"Aug 20, 1984",2.56,51%,5.12,35%,2.02,33%,33%,0.0,51.0,35.0,33.0,33.0,8.459999999999999
729,Ron Sparks,"6' 5""",265 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
730,Ryan Spann,"6' 5""",205 lbs.,"Aug 24, 1991",3.42,44%,3.42,48%,1.46,35%,50%,1.8,44.0,48.0,35.0,50.0,25.68
731,Andreas Spang,"6' 1""",185 lbs.,"Nov 07, 1978",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
732,Chris Spang,"6' 2""",170 lbs.,"Nov 26, 1987",1.83,36%,1.95,60%,0.0,0%,50%,0.9,36.0,60.0,0.0,50.0,15.8
733,Charon Spain,"5' 9""",155 lbs.,"Mar 11, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
734,Bruno Souza,"5' 10""",145 lbs.,"Mar 07, 1996",3.73,39%,5.3,45%,0.5,16%,60%,0.0,39.0,45.0,16.0,60.0,9.649999999999999
735,Livinha Souza,"5' 3""",115 lbs.,"Mar 11, 1991",1.75,45%,3.6,56%,2.54,45%,40%,1.4,45.0,56.0,45.0,40.0,19.77
736,Edimilson Souza,"6' 0""",145 lbs.,"ct 17, 1984",4.65,44%,2.91,58%,0.0,0%,50%,0.0,44.0,58.0,0.0,50.0,23.9
737,Jacare Souza,"6' 1""",185 lbs.,"ec 07, 1979",2.53,47%,2.83,62%,2.57,39%,57%,1.3,47.0,62.0,39.0,57.0,29.309999999999995
738,Bobby Southworth,"6' 2""",205 lbs.,"ec 16, 1969",0.99,39%,1.38,65%,3.98,78%,64%,1.3,39.0,65.0,78.0,64.0,37.19
739,Mario Sousa,"6' 3""",185 lbs.,"ct 20, 1996",2.82,50%,2.99,28%,0.52,25%,37%,0.5,50.0,28.0,25.0,37.0,15.709999999999997
740,Andre Soukhamthath,"5' 9""",135 lbs.,"ct 23, 1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2,44.0,49.0,53.0,58.0,16.850000000000005
741,Mario Soto,"6' 0""",145 lbs.,--,1.43,23%,5.23,42%,0.0,0%,0%,0.0,23.0,42.0,0.0,0.0,-12.500000000000004
742,Joe Soto,"5' 6""",135 lbs.,"Mar 22, 1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9,41.0,67.0,21.0,70.0,16.2
743,Alex Soto,"5' 8""",135 lbs.,"Feb 15, 1984",2.95,25%,5.02,59%,2.82,30%,0%,0.0,25.0,59.0,30.0,0.0,9.510000000000002
744,Greg Soto,"5' 11""",170 lbs.,"Jun 03, 1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0,63.0,52.0,27.0,44.0,28.070000000000004
745,George Sotiropoulos,"5' 10""",155 lbs.,"Jul 09, 1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6,27.0,67.0,31.0,53.0,28.41
746,Krzysztof Soszynski,"6' 1""",205 lbs.,"Aug 02, 1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0,39.0,58.0,25.0,71.0,24.060000000000002
747,Ben Sosoli,"6' 0""",265 lbs.,"ec 10, 1989",2.31,31%,4.3,47%,0.0,0%,0%,0.0,31.0,47.0,0.0,0.0,-2.1499999999999995
748,Dmitry Sosnovskiy,"6' 3""",240 lbs.,"Jul 06, 1989",2.95,70%,2.53,35%,3.16,66%,100%,3.2,70.0,35.0,66.0,100.0,45.080000000000005
749,Punahele Soriano,"5' 11""",185 lbs.,"Nov 22, 1992",3.95,47%,3.42,52%,1.02,57%,31%,0.0,47.0,52.0,57.0,31.0,24.41
750,Sean Soriano,"5' 9""",145 lbs.,"ct 06, 1989",3.18,61%,2.14,56%,1.33,55%,52%,0.0,61.0,56.0,55.0,52.0,31.59
751,Emiliano Sordi,"6' 2""",205 lbs.,"Feb 15, 1991",4.79,50%,4.79,48%,0.0,0%,100%,8.3,50.0,48.0,0.0,100.0,36.400000000000006
752,Jin Soo Son,"5' 6""",135 lbs.,"Apr 01, 1993",5.1,36%,7.63,52%,1.5,25%,100%,0.0,36.0,52.0,25.0,100.0,13.150000000000002
753,Cody Sons,"5' 9""",205 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
754,Chael Sonnen,"6' 1""",205 lbs.,"Apr 03, 1977",3.08,43%,1.1,62%,3.81,59%,66%,0.4,43.0,62.0,59.0,66.0,45.13
755,Song Yadong,"5' 8""",135 lbs.,"ec 02, 1997",4.55,41%,3.93,59%,0.63,55%,71%,0.2,41.0,59.0,55.0,71.0,27.99
756,Song Kenan,"6' 0""",170 lbs.,"Mar 10, 1990",4.39,46%,4.37,54%,0.0,0%,50%,0.0,46.0,54.0,0.0,50.0,15.099999999999998
757,Paul Song,--,185 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
758,Joe Son,"5' 4""",236 lbs.,"Nov 22, 1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
759,Chris Solomon,"5' 11""",155 lbs.,--,0.0,0%,2.8,37%,0.0,0%,33%,0.0,0.0,37.0,0.0,33.0,-7.000000000000001
760,Joe Solecki,"5' 9""",155 lbs.,"Aug 27, 1993",2.54,56%,1.74,50%,2.44,47%,50%,1.1,56.0,50.0,47.0,50.0,33.82
761,Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"Apr 18, 1984",2.26,45%,2.61,56%,1.93,47%,78%,0.9,45.0,56.0,47.0,78.0,28.439999999999998
762,Renato Sobral,"6' 1""",205 lbs.,"Sep 07, 1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6,45.0,57.0,42.0,65.0,37.040000000000006
763,Peter Sobotta,"6' 0""",170 lbs.,"Jan 11, 1987",2.14,40%,2.9,58%,1.53,32%,77%,0.5,40.0,58.0,32.0,77.0,22.49
764,Denis Sobolev,"6' 3""",216 lbs.,--,0.0,0%,5.45,33%,0.0,0%,0%,0.0,0.0,33.0,0.0,0.0,-23.95
765,Devin Smyth,"5' 10""",170 lbs.,"Jul 21, 1995",2.6,68%,6.73,25%,4.0,26%,100%,0.0,68.0,25.0,26.0,100.0,13.249999999999995
766,Richie Smullen,"5' 9""",155 lbs.,"Aug 17, 1991",1.98,77%,2.26,65%,8.49,66%,0%,0.0,77.0,65.0,66.0,0.0,44.87
767,Shimon Smotritsky,"6' 2""",170 lbs.,"Aug 22, 2000",3.52,34%,8.67,56%,3.52,33%,50%,0.0,34.0,56.0,33.0,50.0,2.1100000000000003
768,Louis Smolka,"5' 9""",135 lbs.,"Jul 16, 1991",4.67,47%,4.11,53%,1.69,35%,32%,1.8,47.0,53.0,35.0,32.0,28.17
769,Dmitrii Smoliakov,"6' 2""",253 lbs.,"Aug 05, 1982",1.44,42%,3.81,55%,0.0,0%,75%,0.0,42.0,55.0,0.0,75.0,5.349999999999999
770,Justin Smitley,--,145 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
771,Walter Smith-Cotito,"5' 8""",135 lbs.,--,2.95,36%,3.53,68%,2.16,33%,57%,0.0,36.0,68.0,33.0,57.0,22.98
772,Nate Smith,"5' 6""",125 lbs.,"Apr 09, 1995",1.28,38%,2.04,35%,0.0,0%,33%,2.3,38.0,35.0,0.0,33.0,11.400000000000002
773,Cole Smith,"5' 11""",135 lbs.,"Apr 05, 1989",1.78,35%,1.96,49%,1.67,33%,45%,1.7,35.0,49.0,33.0,45.0,23.71
774,Devonte Smith,"5' 9""",155 lbs.,"Jul 30, 1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3,53.0,49.0,25.0,85.0,26.049999999999997
775,Leslie Smith,"5' 9""",135 lbs.,"Aug 17, 1982",7.56,40%,8.41,51%,0.0,0%,62%,0.0,40.0,51.0,0.0,62.0,11.05
776,Gilbert Smith,"5' 9""",185 lbs.,"ct 19, 1981",1.09,41%,2.73,35%,3.51,60%,0%,1.2,41.0,35.0,60.0,0.0,18.33
777,Colton Smith,"6' 0""",155 lbs.,"Aug 14, 1987",1.64,41%,2.3,51%,4.09,36%,25%,1.4,41.0,51.0,36.0,25.0,27.07
778,Anthony Smith,"6' 4""",205 lbs.,"Jul 26, 1988",2.99,47%,4.37,42%,0.44,27%,48%,0.7,47.0,42.0,27.0,48.0,12.219999999999999
779,Trevor Smith,"6' 3""",185 lbs.,"Jan 05, 1981",3.29,55%,3.31,51%,1.7,32%,60%,0.7,55.0,51.0,32.0,60.0,26.2
780,Dillon Smith,"6' 0""",170 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
781,Adam Smith,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
782,David Smith,--,155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
783,Josh Smith,"6' 0""",155 lbs.,"Jul 02, 1982",0.73,28%,1.4,54%,0.0,0%,57%,2.0,28.0,54.0,0.0,57.0,14.55
784,Eric Smith,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
785,Scott Smith,"6' 0""",185 lbs.,"May 21, 1979",1.9,27%,5.87,50%,0.12,6%,58%,0.5,27.0,50.0,6.0,58.0,-4.390000000000003
786,Patrick Smith,"6' 2""",225 lbs.,"Aug 28, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
787,Maurice Smith,"6' 2""",221 lbs.,"ec 13, 1961",0.41,46%,0.47,60%,0.89,50%,20%,0.9,46.0,60.0,50.0,20.0,21.77
788,Kestutis Smirnovas,"5' 10""",200 lbs.,--,4.95,52%,5.05,54%,1.55,50%,100%,1.6,52.0,54.0,50.0,100.0,32.95
789,Ray Sloan,"6' 1""",205 lbs.,"Jul 14, 1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
790,Joe Slick,"6' 0""",199 lbs.,"ct 17, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
791,Brian Sleeman,"5' 8""",185 lbs.,--,4.0,48%,1.85,70%,9.23,100%,100%,0.0,48.0,70.0,100.0,100.0,70.24
792,Zach Skinner,"5' 6""",145 lbs.,--,0.53,50%,2.4,32%,5.0,27%,100%,1.0,50.0,32.0,27.0,100.0,28.55
793,Matt Skelton,"6' 3""",265 lbs.,"Jan 23, 1967",0.0,0%,0.54,0%,0.0,0%,66%,0.0,0.0,0.0,0.0,66.0,3.8999999999999995
794,Chas Skelly,"5' 11""",145 lbs.,"May 11, 1985",2.01,40%,3.21,49%,1.74,34%,39%,2.3,40.0,49.0,34.0,39.0,20.019999999999996
795,Dennis Siver,"5' 6""",145 lbs.,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3,32.0,65.0,32.0,65.0,28.61
796,Jeri Sitzes,"5' 5""",125 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
797,Yokthai Sithoar,"5' 7""",143 lbs.,"ec 25, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
798,AJ Siscoe,"5' 7""",135 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
799,Jeremia Siregar,"5' 2""",125 lbs.,"Jul 27, 1991",2.8,42%,7.37,29%,0.0,0%,75%,0.0,42.0,29.0,0.0,75.0,-8.250000000000002
800,Gian Siqueira,"6' 1""",170 lbs.,"Jun 23, 1994",0.8,100%,3.41,19%,0.0,0%,0%,0.0,100.0,19.0,0.0,0.0,-1.1500000000000008
801,Mitchell Sipe,"6' 2""",245 lbs.,"Apr 09, 1996",5.5,56%,9.98,46%,1.53,20%,0%,0.0,56.0,46.0,20.0,0.0,-5.6100000000000065
802,Elvis Sinosic,"6' 3""",205 lbs.,"Feb 13, 1971",1.13,37%,4.6,53%,0.0,0%,0%,1.2,37.0,53.0,0.0,0.0,-5.95
803,Rory Singer,"6' 2""",185 lbs.,"May 28, 1976",2.55,39%,2.42,63%,0.39,25%,64%,0.8,39.0,63.0,25.0,64.0,22.520000000000003
804,Rob Sinclair,"5' 8""",155 lbs.,"Feb 20, 1980",1.2,33%,1.73,73%,0.0,0%,50%,0.0,33.0,73.0,0.0,50.0,12.95
805,Lodune Sincaid,"5' 9""",185 lbs.,"May 07, 1973",2.72,42%,6.17,57%,0.0,0%,75%,0.0,42.0,57.0,0.0,75.0,0.14999999999999947
806,Everett Sims,"6' 5""",260 lbs.,"Sep 04, 1988",0.81,66%,2.19,30%,0.0,0%,42%,1.2,66.0,30.0,0.0,42.0,9.3
807,Tony Sims,"5' 11""",155 lbs.,"ct 14, 1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7,63.0,65.0,50.0,50.0,31.580000000000002
808,Marlon Sims,--,170 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
809,Wes Sims,"6' 10""",260 lbs.,"Aug 04, 1979",0.98,51%,2.95,37%,0.0,0%,40%,2.3,51.0,37.0,0.0,40.0,7.55
810,Aaron Simpson,"6' 0""",170 lbs.,"Jul 20, 1974",3.6,52%,2.53,56%,3.78,34%,83%,0.5,52.0,56.0,34.0,83.0,40.190000000000005
811,Ricky Simon,"5' 6""",135 lbs.,"Aug 31, 1992",3.04,44%,2.95,64%,6.55,52%,75%,0.5,44.0,64.0,52.0,75.0,44.6
812,Jamey Simmons,"5' 6""",135 lbs.,"Sep 11, 1992",0.79,21%,1.92,74%,0.0,0%,50%,0.0,21.0,74.0,0.0,50.0,8.850000000000001
813,Elias Silverio,"5' 11""",155 lbs.,"Sep 22, 1986",3.67,49%,2.97,51%,1.62,38%,85%,0.2,49.0,51.0,38.0,85.0,31.06
814,Marcus Silveira,"6' 3""",242 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
815,Leonardo Silva de Oliveira,"6' 2""",185 lbs.,"Apr 23, 1992",1.07,40%,0.54,50%,24.11,50%,0%,0.0,40.0,50.0,50.0,0.0,88.98
816,Douglas Silva de Andrade,"5' 7""",135 lbs.,"Jun 22, 1985",3.61,39%,4.03,57%,0.68,50%,69%,0.2,39.0,57.0,50.0,69.0,21.839999999999996
817,Erik Silva,"5' 9""",145 lbs.,"Mar 16, 1987",7.83,70%,0.0,100%,9.78,100%,0%,0.0,70.0,100.0,100.0,0.0,95.49
818,Karine Silva,"5' 5""",125 lbs.,"ec 02, 1993",2.49,26%,3.95,35%,1.29,33%,0%,3.9,26.0,35.0,33.0,0.0,13.77
819,Maria Silva,"5' 3""",115 lbs.,"ec 19, 1995",3.0,57%,1.13,62%,2.0,100%,55%,0.5,57.0,62.0,100.0,55.0,43.75
820,Jansey Silva,"6' 2""",185 lbs.,"May 30, 1995",0.46,40%,2.32,33%,0.0,0%,0%,0.0,40.0,33.0,0.0,0.0,-1.9999999999999991
821,Natalia Silva,"5' 4""",125 lbs.,"Feb 03, 1997",5.33,54%,1.85,66%,1.13,33%,92%,0.0,54.0,66.0,33.0,92.0,45.28999999999999
822,Jacob Silva,"5' 5""",125 lbs.,"Feb 23, 1988",4.17,44%,4.92,56%,1.51,100%,66%,0.0,44.0,56.0,100.0,66.0,27.380000000000003
823,Gabriel Silva,"5' 6""",135 lbs.,"Aug 26, 1994",1.3,34%,3.47,45%,1.5,25%,38%,0.5,34.0,45.0,25.0,38.0,8.849999999999998
824,Bruno Silva,"6' 0""",185 lbs.,"Jul 13, 1989",4.31,48%,4.58,44%,0.66,18%,71%,0.0,48.0,44.0,18.0,71.0,18.73
825,Bruno Silva,"5' 4""",125 lbs.,"Mar 16, 1990",2.98,46%,3.23,58%,2.89,31%,64%,0.0,46.0,58.0,31.0,64.0,27.32
826,Dayana Silva,"5' 7""",135 lbs.,"Aug 27, 1990",6.33,51%,5.93,57%,0.0,0%,42%,0.0,51.0,57.0,0.0,42.0,17.0
827,Felipe Silva,"6' 0""",155 lbs.,"May 08, 1984",5.4,50%,1.8,59%,1.0,100%,71%,0.0,50.0,59.0,100.0,71.0,49.0
828,Joaquim Silva,"5' 8""",155 lbs.,"Feb 05, 1989",4.08,39%,4.58,55%,0.21,50%,65%,0.6,39.0,55.0,50.0,65.0,20.23
829,Rafael Silva,"5' 7""",135 lbs.,"Mar 20, 1985",0.67,50%,0.73,67%,0.0,0%,25%,1.0,50.0,67.0,0.0,25.0,15.9
830,Wagner Silva,"6' 0""",170 lbs.,"Feb 07, 1987",1.69,29%,2.87,65%,0.0,0%,58%,0.0,29.0,65.0,0.0,58.0,9.299999999999997
831,Claudio Silva,"5' 11""",170 lbs.,"Sep 06, 1982",2.48,42%,3.0,46%,2.85,26%,44%,1.1,42.0,46.0,26.0,44.0,23.950000000000003
832,Leandro Silva,"5' 9""",155 lbs.,"Nov 11, 1985",2.39,48%,2.08,63%,1.76,37%,65%,0.4,48.0,63.0,37.0,65.0,28.93
833,Erick Silva,"6' 0""",170 lbs.,"Jun 21, 1984",2.5,48%,4.18,49%,0.85,35%,56%,1.4,48.0,49.0,35.0,56.0,15.75
834,Fabio Silva,"5' 11""",205 lbs.,"Mar 31, 1982",0.09,11%,5.9,38%,0.0,0%,0%,0.0,11.0,38.0,0.0,0.0,-24.15
835,Antonio Silva,"6' 4""",264 lbs.,"Sep 14, 1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8,45.0,50.0,29.0,66.0,22.060000000000002
836,Jay Silva,"6' 2""",185 lbs.,--,1.13,34%,3.07,40%,0.0,0%,38%,1.0,34.0,40.0,0.0,38.0,3.500000000000001
837,Sidney Silva,"6' 3""",170 lbs.,"Feb 27, 1972",2.86,65%,3.3,34%,3.3,100%,0%,0.0,65.0,34.0,100.0,0.0,27.599999999999998
838,Edson Silva,--,205 lbs.,--,2.69,14%,5.37,50%,0.0,0%,0%,0.0,14.0,50.0,0.0,0.0,-7.000000000000002
839,Jean Silva,"5' 6""",160 lbs.,"ct 08, 1977",0.73,22%,2.93,52%,0.0,0%,0%,0.0,22.0,52.0,0.0,0.0,-3.6000000000000005
840,Paulo Cesar Silva,"7' 5""",385 lbs.,"Jul 21, 1963",0.4,15%,2.72,47%,0.42,100%,16%,0.4,15.0,47.0,100.0,16.0,8.26
841,Thiago Silva,"6' 2""",205 lbs.,"Nov 12, 1982",3.92,50%,2.55,67%,1.03,47%,70%,0.7,50.0,67.0,47.0,70.0,34.74
842,Wanderlei Silva,"5' 11""",205 lbs.,"Jul 03, 1976",2.79,40%,2.19,60%,0.97,53%,62%,0.6,40.0,60.0,53.0,62.0,28.61
843,Anderson Silva,"6' 2""",185 lbs.,"Apr 14, 1975",3.05,61%,2.05,60%,0.5,77%,69%,0.8,61.0,60.0,77.0,69.0,34.800000000000004
844,Assuerio Silva,"5' 10""",241 lbs.,"Jun 18, 1974",1.42,46%,4.2,54%,2.66,34%,25%,1.8,46.0,54.0,34.0,25.0,13.58
845,Xavier Siller,"5' 5""",125 lbs.,"Jun 06, 1994",1.02,36%,1.53,57%,3.83,100%,0%,0.0,36.0,57.0,100.0,0.0,28.24
846,Siala Siliga,"6' 1""",290 lbs.,"ct 08, 1970",1.08,26%,1.96,50%,1.47,50%,80%,0.0,26.0,50.0,50.0,80.0,20.61
847,Steven Siler,"5' 11""",145 lbs.,"Feb 15, 1987",3.21,41%,2.96,54%,0.47,21%,55%,1.6,41.0,54.0,21.0,55.0,22.96
848,Kiril Sidelnikov,"5' 11""",230 lbs.,"Aug 17, 1988",2.87,28%,4.48,61%,0.0,0%,0%,0.0,28.0,61.0,0.0,0.0,0.8499999999999988
849,Sam Sicilia,"5' 8""",145 lbs.,"Feb 01, 1986",2.46,33%,3.55,59%,1.45,43%,70%,0.9,33.0,59.0,43.0,70.0,21.2
850,Brandon Shuey,"5' 7""",155 lbs.,"Feb 01, 1976",0.68,33%,1.36,0%,0.0,0%,0%,10.2,33.0,0.0,0.0,0.0,20.3
851,Ivan Shtyrkov,"6' 0""",205 lbs.,"Jun 09, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
852,Landon Showalter,"6' 0""",185 lbs.,"Jun 14, 1976",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
853,Jack Shore,"5' 8""",135 lbs.,"Feb 06, 1995",3.96,58%,2.34,57%,3.66,39%,80%,0.6,58.0,57.0,39.0,80.0,43.68
854,Liudvik Sholinian,"5' 10""",135 lbs.,"Jan 20, 1990",2.5,30%,5.67,55%,0.0,0%,66%,0.0,30.0,55.0,0.0,66.0,-0.7500000000000018
855,Akira Shoji,"5' 8""",195 lbs.,"Jan 31, 1974",1.03,34%,2.63,53%,1.79,73%,82%,0.4,34.0,53.0,73.0,82.0,22.37
856,Josh Shockman,"6' 4""",235 lbs.,"ec 29, 1980",0.87,32%,0.87,58%,0.0,0%,23%,0.0,32.0,58.0,0.0,23.0,11.3
857,Josh Shockley,"6' 1""",155 lbs.,"Nov 15, 1989",1.4,33%,1.75,60%,0.0,0%,61%,0.8,33.0,60.0,0.0,61.0,15.25
858,Alexander Shlemenko,"5' 11""",185 lbs.,"May 20, 1984",4.36,60%,1.71,63%,0.0,0%,0%,0.0,60.0,63.0,0.0,0.0,25.55
